?Яремче./Яремча/.Котедж Писанка.	78500, Івано-Франківська обл., Яремчанська міська рада, м.Яремче, вул.Свободи 321 в.	тел.моб. +38067 3101925 Іванка.			
?Яремче./Яремча/.Котедж Панська хата.	78500, Івано-Франківська обл., м. Яремче, вул. Франка, 2, тел. моб. +38(050) 9401009 Лариса.				
?Яремче./Яремча/.Котедж Кривий брід.	78500, Івано-Франківська обл., м. Яремче, тел.моб.+38097 3140545 Алла,+38093 1564433 Анатолій.				
?Яремче./Яремча/.Котедж Country house.	78500, Івано-Франківська обл., м. Яремче, вул. І. Петраша, 13,	тел. дом. +38(0342) 773349,  тел. моб. +38(050) 3735639 Ліля Василівна.			
?Яремче./Яремча/.Котедж Незабудка.	78500, Івано-Франківська обл., м.Яремче, вул.Свободи 278-в,	тел. +38(03434) 23113, тел.моб. +38(067) 1650738 Надія Петрівна.			
?Котедж Ніка.Яремче./Яремча/.	78500, Івано-Франківська обл., м. Яремче, вул. І. Франка, 10/2,	тел. моб. +38(098) 2604888, +38(095) 5700868, Сергій, +38(095) 2604888, Мар’яна.			
?Котедж На Царині.Яремче.	78500, Івано-Франківська обл., м.Яремче, вул.Мічуріна 19,	тел.моб. +38(067) 9063495 - Василь, +38(067) 2994101 - Тетяна.			
?Яремче.Котеджі Настя.Ціни 2016.	78500, Івано-Франківська обл., м.Яремче,  вул.Івана Франка, 46,	тел.моб. +38 098 0098886 Іван, +38 099 0300067, +38 066 5388588 Людмила.			
?Яремче./Яремча/.Котедж Навпроти Маковиці.	78500, Івано-Франківська обл., м. Яремче, вул. Свободи, 125,	тел. моб. +38 (098) 9217001 Олександра, тел.моб. +38(096) 1027438 Андрій. (03434) 33658.			
?Яремче.Котедж Модрина.Ціни 2016.	м.Яремче вул.Лесі Українки 2,	тел.моб. +38096 7574521.+38099 0446007			
?Котеджі Лісова казка.Яремче./Яремча/.	78500, Івано-Франківська обл., м.Яремче, Ямна, вул. І.Франка 11, тел. +38(03434) 31248, тел. моб. +38(067) 4371422 Ірина, +38(067) 7366867 Василь.				
?Котедж Ластівка.Яремче./Яремча/.	78500, Івано-Франківська обл., м.Яремче, вул.Свободи 123 А,	Тел.моб. +38(067)9084215,+38(067)2913464.			
?Яремче./Яремча/.Котедж За рікою.	78500, Івано-Франківська обл., м.Яремче, Ямна, вул. Л.Українки 11 , тел. +38(03434) 31235, 31338, тел. моб. +38(097) 8126657 Андрій, +38(097) 6683787 Галина,+38(066) 8734102.				
?Котедж Затишне гніздечко.Яремче./Яремча/.	78500, Івано-Франківська обл., м.Яремче, вул.Вітовського,	тел. +38(03434) 21477, тел.моб.+38(063)4615929, +38(096) 3555173 - Юлія Олександрівна, +38(097) 2387684 - Василь Дмитрович.			
?Яремче/Яремча/.Котеджі Жонка.	78500, Івано-Франківська обл., м.Яремче, вул.Грушевського 24,	тел. +38(03434) 22502, тел. моб.+38(063)4610368, +38(067) 5947164 Михайло, +38(097) 2654808 Світлана.			
?Котедж Деревій.Яремче./Яремча/.	78500, Івано-Франківська обл., м.Яремче, вул.Стуса 14,	тел.моб. +38(067)9020693.			
?Яремче.Котедж Два гуцулики.Ціни 2016.	м.Яремче, вул.Стефаника, 17,тел.моб. +38097 2482844 Мирослава,+38097 2483347 Роман.				
?Яремче./Яремча/.Котеджі Гуцулочка GVM.	78500, Івано-Франківська обл., м.Яремче, вул.Свободи, 235, тел.моб +38(067) 6012360 Василь, тел. +38(03434) 22332.				
?Котедж Гірська роса.Яремче./Яремча/.	78500, Івано-Франківська обл., м.Яремче, вул.І.Франка 78А,	тел.моб.+38(097)9644585, +38(050)1508964.			
?Яремче/Яремча/.VIP котеджі Поляна кохання.	78500, Івано-Франківська обл., м.Яремче, вул.Свободи 367 б, тел.моб. +38(050) 9429848, +38(050)3798507 Леся Михайлівна.				
?Яремче./Яремча/.Котедж Вероніка.	78500, Івано-Франківська обл., Яремчанська міська рада, м.Яремче, мікрорайон «Ямна», вул. Свободи, 326-а,	тел.моб. +38(096) 4336507 Володимир, +38(098) 0841297 Віра.			
?Яремче./Яремча/.Котедж ВелКамінь.	78500, Івано-Франківська обл., м.Яремче,Ямна, вул.Грушевського 10-б, тел.моб +38(067) 5894836,+38(099) 3706115 Іван, +38 (096) 7419916 Роман.				
?Котедж В обіймах Карпат.Яремче./Яремча/.	78500, Івано-Франківська обл., м. Яремче, вул. Страчених 3,	тел.моб. +38067 9169399 пані Марія,тел.+3803434 22058.			
?Котедж Бойківська фамілія.Яремче.Відпочинок в Карпатах.	м.Яремче вул.Підскельна 27А(заїзд по вул.Руднева),	тел. моб. +38067 8931306 Ігор,+38066 5048035 Тетяна,+38063 4667250 Ігор.			
?Яремче./Яремча/.Садиба Бойківчанка.	78500, Івано-Франківська обл., м.Яремче, вул.Грушевського 22-б,	тел.моб. +38(067)9771426, тел. +38(03434) 21273.			
?Яремче.Еко-садиба Богівець.Ціни 2016.	Івано-Франківська обл., Надвірнянський р-н, смт.Делятин, участок Богівець, тел.моб. +38096 7450648.				
?Яремче.Котеджі Біля водоспаду.Ціни 2016.	м.Яремче, вул.Петраша, 20, тел.моб. +38098 9428540 Надія.				
?Котеджі Байка.Яремче./Яремча/.	78500, Івано-Франківська обл., Яремчанська міська рада, м.Яремче,	тел.моб.+38(063)4611277, +38(098) 7798709 Сергій, +38(096) 6657299 Леся.			
?Котедж Байбарак.Яремче./Яремча/.	78500, Івано-Франківська обл., м.Яремче, вул.Свободи  116,	Тел.моб. +38(097)9265711 Олег,+38(097)9487550.			
?Котедж Арсен.Яремче./Яремча/.	78500, Івано-Франківська обл., м.Яремче, вул.200-років Яремче 26,	тел.моб +38(050)7587565 Валерія ,тел +38(03434)21479			
?Котеджі Анюта.Яремче.Відпочинок в Карпатах.	м.Яремче вул.Свободи 64,	тел. моб. +38098 7722342 Павло,+38068 6211262 Мирослава.			
?Котедж Анничка.Яремче./Яремча/.	78500, Івано-Франківська обл., м.Яремче, вул. Грушевського 36/1,	тел. +38(03434) 22260, тел.моб.+38(097) 4322356 Світлана, +38(067) 7879709 Віталій.			
?Яремче./Яремча/.Котедж Анастасія.	78500, Івано-Франківська обл., Яремчанська міська рада, м.Яремче, вул.Ковпака 32.				
?Яремче./Яремча/.Котедж Акорди плеса.	78500 Івано-Франківська обл. , м. Яремче, вул. Свободи 213»А»,тел. +38(03434)2-13-57		тел.моб.+38(063)0615959,+38(066)0451640, +38(067)4279583 Ірина , +38(067)7929531 Василь		
?Яремче.Котедж Аделіс.Ціни 2016.	78500, Івано-Франківська обл., м.Яремче, вул.Довбуша, 16-а, тел.моб. +38097 5149322, +38050 5143790 Наталія.				
?Яремче./Яремча/.Гостинний двір Яблучко.	78500, Івано-Франківська обл., м.Яремче, вул.Федьковича, 7-б, тел. +3803434 21433, тел.моб. +38067 7323319 Оксана,+38099 2374060 Оксана.				
?Яремче./Яремча/.Гостинний двір Шафран.	78500, Івано-Франківська обл., м.Яремче, вул.Свободи, 242-б,	тел. моб. +38(097) 2645710 Петро Дмитрович, +38(097) 7460687 Марія Василівна.			
?Яремче./Яремча/.Гостинний двір У Мар'яни і Назара	78500, Івано-Франківська обл., м. Яремче, вул. Підскельна,тел.(03434)21525,  тел.моб:+38(097)0466667.				
?Яремче./Яремча/.Гостинний двір Cиньогора.	78500, Івано-Франківська обл., м. Яремче, вул.С.Бендери, 4,	тел.моб. +38(067) 3427447 Микола, +38(067) 7912566 Наталія.			
?Гостиний двір Олександра.Яремче./Яремча/.	78500, Івано-Франківська обл., Яремчанська міська рада, м.Яремче, вул.Грушевського, б,	тел.моб.+38(063)4621021, +38(067) 9831157  Олександра.			
?Яремче./Яремча/.Гостинний двір Оберіг.	78500, Івано-Франківська обл., м.Яремче, вул.Б.Лепкого, 19-а, тел.моб. +38(097) 2875099, +38(050) 3380366 Степан, Лариса.				
?Гостиннний двір Меланія.Яремче./Яремча/.	78500, Івано-Франківська обл., м.Яремче, вул.Камянка 48,	тел.моб.+38098 7017167, +38097 8006483.			
?Яремче/Яремча/.Апартаменти Мандри.	78500, Івано-Франківська обл., м.Яремче, вул.Курортна,1,	тел. +38067 3440681 , +3803434 22648 .			
?Яремче./Яремча/.Гостинний двір Красна садиба.	78500, Івано-Франківська обл., м.Яремче, вул.Івасюка 6,тел.моб. +38095 3015040, тел. +38(03434) 22253, 21275.				
?Яремче./Яремча/.Гостинний двір Золота Перлина.	78500, Івано-Франківська обл., м. Яремче, вул.Гірська, 43, тел.  тел.моб. +38(097) 2917905 Ольга Миколаєвна, +38(097) 3837658 Роман.				
?Гостиний двір Гуцульська хата.Яремче./Яремча/.	78500, Івано-Франківська обл., м. Яремче, вул.Свободи, 133/1,	тел.моб. +38(067) 9502874 Сергій, +38(097) 5776965 Наталія.			
?Яремче/Яремча/.Гостинний двір Груник.	78500, Івано-Франківська обл., м. Яремче, вул. Петраша (Дачна) 56-б,	тел. +38(050) 9382875,(098)3271750 Андрій	  +38(050) 9776773 Павлина		
?Гостинний двір Візит.Яремче/Делятин/.	Івано-Франківська обл., Надвірнянський р-н., смт.Делятин, вул.Галана, 33,  тел.моб. +38 067 1760208 Марія, +38 0671785025 Дмитро, +38 066 7894657.				
?Яремче/Яремча/.Гостинний двір Ватра.	78500, Івано-Франківська обл., м.Яремче, вул. І.Петраша 34-а,	тел.моб.+38(067) 3427757 Василь Васильович, +38(067) 1530570 Ганна Григорівна.			
?Яремче./Яремча/.Гостинний двір Буркут.	78500, Івано-Франківська обл., м. Яремче,  вул., Богдана Хмельницького, 4,	тел. моб. +38(096) 2123119, Володимир.			
?Яремче/Яремча/.Гостинний двір Боярський.	78500, Івано-Франківська обл., м.Яремче, вул. Прикарпатська 17-а,	тел. +38(03434) 33578, тел. моб. +38(097) 7072243 Марія.			
?Яремче./Яремча/.Гостинний двір Арман.	78500, Івано-Франківська обл., м.Яремче, вул.Довбуша 88, тел.+38(03434) 22364,	тел.моб. +38(067) 2744452 Ігор, +38(067) 9465768 Юля.			
?Готель Оберіг.Ворохта.Відпочинок в Карпатах.	78500, Івано-Франківська обл., Яремчанська міська рада, смт.Ворохта, вул.Б.Хмельницького 37, тел.моб. +38067 6780011, +38050 2505939.				
?Яремче./Яремча/.Готель Явір.	78500, Івано-Франківська обл., м. Яремче, вул. Свободи 367 б, тел. дом. (03434) 21206, тел. моб. (067) 9023595 Віра Теодорівна.				
?Яремче./Яремча/.Готель Станіславський.	78500, Івано-Франківська обл., м.Яремче, вул.Петраша, 5,	тел.+38(03434) 23033, тел. +38(050) 3736535.			
?Міні-готель Respekt(Респект).Яремче./Яремча/.	78500, Івано-Франківська обл., м.Яремче, с.Микуличин, вул.Рівня, тел.моб. +38 097 7075095 Петро.				
?Яремче/Яремча/.Готель Радіола.	"78500, Івано-Франківська обл., м.Яремче, вул.Свободи 363 ""Д"" , тел.факс +38(03434)21630, тел. моб. +38(095) 6308099 ,+38(098) 7982341- Анна Василівна."				
?Готель Краса Карпат.Яремче./Яремча/.	Івано-Франківська обл., м.Яремче, вул.Свободи, 331-в, тел. +38 03434 21333, тел.моб. +38 067 7284788.				
?Яремче./Яремча/.Клуб-готель Яремче.	78500, Івано-Франківська обл., м.Яремче, вул.Петраша 6,  тел. +38(03434) 22238.				
?Яремче/Яремча/.База відпочинку Горгани.	78500, Івано-Франківська обл., м.Яремче, вул.Свободи 269,	тел.+38(03434) 22427, 22639,тел.моб. +38067 1720676 Павло,+38067 3464497 адміністратор.			
?Яремче./Яремча/.Готель Ведмежа гора Resort.	78500, Івано-Франківська обл., м.Яремче, вул.Грушевського, 29, тел. +38 03434 21484 тел.моб.+38(093)8388841, +38098 3715152 - рецепція.				
?Готель Білий явір.Яремче./Яремча/.	78500, Івано-Франківська обл., м. Яремче, вул. Свободи 367 а,	тел. (03434) 21671, +38(097)9831456, +38(095)3998595 - Адміністратор.			
?Яремче./Яремча/.Відпочинковий комплекс Краєвид.	78500, Івано-Франківська обл., м.Яремче,вул.Б.Хмельницького,8, тел.моб.+38(063)2517743, +38(050) 4011115 Олександр,+38(098)0074050, +38(095)9292852 - Рита.				
?Villa На стежці Довбуша.Яремче./Яремча/.	78500, Івано-Франківська обл., м. Яремче, вул.Свободи, 349/4,	тел. +38 (050) 5498323 Неля, +38(095) 5547337 Alex (english)			
?Вілла VIP-клас.Яремче./Яремча/.	78500, Івано-Франківська обл., Яремчанська міська рада, м.Яремче, вул.Свободи,	223-а, тел.моб. +38(067) 9361182 Лариса.			
?Вілла Вершина.Яремче./Яремча/.	78500, Івано-Франківська обл., м.Яремче, вул.Партизанська 57,	моб. +38(063)8499658 Дмитро,+38(097)6296245	 ел. скринька: mail@vershina.com.ua		
?Й	78500, Івано-Франківська обл., м.Яремче, вул.Л.Українки 2 , тел. моб.+38(067)3822809	 +38(097)2655729	тел.+38(044)3326326.		
?Відпочинковий комплекс Софія.Яремче./Яремча/.	"78500, Івано-Франківська обл., м.Яремче, вул.Г.Хоткевича 12""Б"", тел.факс  +38(03434) 22222, тел.моб +38(067)3436269,+38(050) 3735252 e-mail :   sofia.yaremche@list.ru"				
?Яремче./Яремча/.Готельно-ресторанний комплекс Рубель.	78500, Івано-Франківська обл., м.Яремче, вул.Свободи 361/1, тел.факс +38(03434)31341, +38(03434)31389,тел.моб +38(063)0407272.				
?Відпочинковий комплекс Під скалою.Яремче./Яремча/.	78500, Івано-Франківська обл., м.Яремче, вул.Підскельна 38,	тел.(+3803434) 22367, тел.моб. (+38097) 3805951.			
?Яремче./Яремча/.Відпочинковий комплекс О'Шале.	78500, Івано-Франківська обл., м. Яремче, вул.Хоткевича, 5-а,	тел.моб.+38(067)9037570,тел.+38(03434)22193			
?Яремче./Яремча/.Відпочинковий комплекс Краєвид.	78500, Івано-Франківська обл., м.Яремче,вул.Б.Хмельницького,8, тел.моб.+38(063)2517743, +38(050) 4011115 Олександр,+38(098)0074050, +38(095)9292852 - Рита.				
?Яремче./Яремча/.Відпочинковий комплекс НЕБОКРАЙ.	78500, Івано-Франківська обл., м.Яремче, вул.Галицька, 68/1, тел. +38(03434) 22899, тел.моб +38(098) 6555888, +38(066) 5151888, +38(093) 8332342.  e-mail : nebokray.karpaty@mail.ru				
?Відпочинковий комплекс Водограй.Яремче./Яремча/.	78500, Івано-Франківська обл., м. Яремче, вул. Свободи, 367, тел. +38(03434) 21203,	тел.факс +38(03434) 21623 тел.моб. +38(098) 4506512 адміністратор.+38 (066)0873555.			
?Яремче./Яремча/.Відпочинковий комплекс Ведмежа гора.	78500, Івано-Франківська обл., м.Яремче, вул.Грушевського, 29, тел.моб.+38(093)8388841, +38(098)3715152(адміністратор), тел. (+3803434) 21484 – рецепція.				
?Яремче.Відпочинковий комплекс Берізка.Ціни 2016.	78500, Івано-Франківська обл., м. Яремче, вул. Свободи, 232,	тел.моб. +38097 8620530 Олеся,+38095 1469355 Олеся, +38097 0057245 адміністратор.			
?Яремче.Котедж Аделіс.Ціни 2016.	78500, Івано-Франківська обл., м.Яремче, вул.Довбуша, 16-а, тел.моб. +38097 5149322, +38050 5143790 Наталія.				
?Котеджі Тис.Яремче./Яремча/.	78500, Івано-Франківська обл., м.Яремче, вул.Свободи, 278-а,	тел. +38(03434) 22169, тел. моб.  +38(067) 2769836 Олександр, +38(067) 2844834 Галина,+38(063) 4624599.			
?Яремче.Еко-садиба Богівець.Ціни 2016.	Івано-Франківська обл., Надвірнянський р-н, смт.Делятин, участок Богівець, тел.моб. +38096 7450648.				
